symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
ABCAPITAL,2025-10-14,2025-10-30,300.45,321.65000000000003,405,target,Bullish Engulfing,10.0,8586.000000000018,7.056082542852393,16
NATIONALUM,2025-11-10,2025-11-11,241.15,258.55000000000007,510,target,Bullish Engulfing,10.0,8874.000000000033,7.21542608335064,1
MOTILALOFS,2025-11-04,2025-11-24,1014.05,941.2,121,stop,Bullish Engulfing,10.0,-8814.84999999999,-7.184063902174442,20
LTF,2025-11-25,2025-11-27,294.65000000000003,309.3500000000001,418,target,Bullish Engulfing,10.0,6144.600000000019,4.988969964364509,2
PNB,2025-11-12,2025-12-03,119.21,116.63000000000001,1039,stop,Pin Bar,9.0,-2680.6199999999835,-2.1642479657746683,21
BANKINDIA,2025-11-10,2025-12-08,140.95,134.11999999999998,878,stop,Bullish Engulfing,7.0,-5996.740000000011,-4.845689960979083,28
NATIONALUM,2025-12-10,2025-12-22,267.05,282.65000000000003,460,target,Pin Bar,9.0,7176.000000000011,5.841602696124326,12
CUMMINSIND,2025-12-30,2026-01-05,4453.35,4315.95,27,stop,Bullish Engulfing,7.0,-3709.8000000000147,-3.0853177944693444,6
ASHOKLEY,2026-01-20,2026-01-21,188.93,182.29,653,stop,Bullish Engulfing,10.0,-4335.92000000001,-3.514529190705562,1
HINDALCO,2026-01-13,2026-01-27,927.4,978.0999999999999,133,target,Morning Star,10.0,6743.099999999991,5.466896700452861,14
NATIONALUM,2026-01-12,2026-01-28,352.0,390.74999999999994,350,target,Bullish Engulfing,7.0,13562.49999999998,11.008522727272707,16
INDIANB,2026-01-29,2026-02-01,881.75,840.0500000000001,141,stop,Morning Star,7.0,-5879.699999999991,-4.729231641621768,3
UNIONBANK,2026-02-12,2026-02-17,175.45000000000002,184.33000000000007,705,target,Pin Bar,9.0,6260.400000000037,5.061271017383895,5
UNIONBANK,2026-02-17,2026-02-23,178.77,194.35000000000005,693,target,Bullish Engulfing,10.0,10796.940000000028,8.715108799015514,6
BAJAJ-AUTO,2026-02-03,2026-02-25,9933.0,10068.249999999996,12,target,Pin Bar,9.0,1622.9999999999563,1.3616228732507452,22
