symbol,old_sector_constituents_based,new_sector_indexlist_based,category,weight_available,chosen_weightage,n_sectoral_candidates,n_thematic_candidates,changed,newly_filled
ITC,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,26.71,1,3,False,False
JINDALSTEL,NIFTY METAL,NIFTY METAL,SECTORAL INDICES,True,4.84,1,3,False,False
JIOFIN,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,4.66,2,1,False,False
JSWENERGY,NIFTY COMMODITIES,NIFTY COMMODITIES,THEMATIC INDICES,True,1.61,0,6,False,False
JSWSTEEL,NIFTY METAL,NIFTY METAL,SECTORAL INDICES,True,14.21,1,4,False,False
JUBLFOOD,NIFTY IND TOURISM,NIFTY IND TOURISM,THEMATIC INDICES,True,8.61,0,4,False,False
KALYANKJIL,NIFTY CONSR DURBL,NIFTY CONSR DURBL,SECTORAL INDICES,True,6.33,1,2,False,False
KAYNES,NIFTY MULTI INFRA,NIFTY MULTI INFRA,THEMATIC INDICES,True,0.56,0,3,False,False
KEI,NIFTY EV,NIFTY EV,THEMATIC INDICES,True,3.9,0,4,False,False
KFINTECH,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.1,1,1,False,False
KOTAKBANK,NIFTY PVT BANK,NIFTY PVT BANK,SECTORAL INDICES,True,19.94,2,2,False,False
KPITTECH,NIFTY MS IT TELCM,NIFTY MS IT TELCM,SECTORAL INDICES,True,2.37,1,2,False,False
LAURUSLABS,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,10.87,4,2,False,False
LICHSGFIN,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.34,3,3,False,False
LICI,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.62,2,1,False,False
LODHA,NIFTY REALTY,NIFTY REALTY,SECTORAL INDICES,True,15.37,2,4,False,False
LT,NIFTY INFRA,NIFTY INFRA,THEMATIC INDICES,True,12.45,0,4,False,False
LTF,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,2.38,2,1,False,False
LTM,NIFTY IT,NIFTY IT,SECTORAL INDICES,True,4.47,1,1,False,False
LUPIN,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,8.24,4,2,False,False
M&M,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,23.36,1,8,False,False
MANAPPURAM,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.69,1,0,False,False
MANKIND,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,4.11,4,2,False,False
MARICO,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,4.55,1,3,False,False
MARUTI,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,13.85,1,8,False,False
MAXHEALTH,NIFTY HEALTHCARE,NIFTY HEALTHCARE,SECTORAL INDICES,True,6.63,2,4,False,False
MAZDOCK,NIFTY IND DEFENCE,NIFTY IND DEFENCE,THEMATIC INDICES,True,4.8,0,4,False,False
MCX,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,6.7,2,1,False,False
MFSL,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,3.55,3,1,False,False
MOTHERSON,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,5.65,1,5,False,False
MOTILALOFS,NIFTY CAPITAL MKT,NIFTY CAPITAL MKT,THEMATIC INDICES,True,3.26,0,3,False,False
