symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,ema13_gt_ema21
PHOENIXLTD,2024-02-13,2024-03-13,1282.35,1266.9220763880026,292,stop,NIFTY REALTY,-4504.953694703228,-1.203097719967039,29,True
BHEL,2024-02-13,2024-03-13,213.35,230.752641394838,1638,stop,NIFTY ENERGY,28505.526604744668,8.156850899853762,29,True
GODREJPROP,2024-02-13,2024-03-13,2279.15,2280.632757986168,109,stop,NIFTY REALTY,161.6206204923178,0.0650574988995122,29,True
UNIONBANK,2024-02-13,2024-03-13,124.53,127.78244709700448,2016,stop,NIFTY PSU BANK,6556.9333475610265,2.6117779627435,29,True
COALINDIA,2024-02-22,2024-03-13,418.0,395.56777920442687,777,stop,NIFTY ENERGY,-17429.83555816032,-5.366559998940945,20,True
IOC,2024-02-29,2024-03-13,150.58,148.49,2388,rebalance,NIFTY OIL AND GAS,-4990.920000000008,-1.387966529419582,13,True
BANKBARODA,2024-02-09,2024-03-14,239.6,234.31703681062555,1102,stop,NIFTY PSU BANK,-5821.825434690635,-2.204909511425057,34,True
OIL,2024-02-12,2024-03-15,312.6,361.8723833239189,807,stop,NIFTY OIL AND GAS,39762.813342402565,15.762118785642642,32,True
BPCL,2024-02-21,2024-03-15,292.15,267.6607387453496,1284,stop,NIFTY OIL AND GAS,-31444.211450971092,-8.382427264983871,23,True
PHOENIXLTD,2024-03-15,2024-03-20,1362.5,1281.7,193,rebalance,NIFTY REALTY,-15594.39999999999,-5.930275229357795,5,True
TRENT,2024-03-13,2024-03-27,2629.4,2583.5,94,rebalance,NIFTY NONCYC CONS,-4314.600000000009,-1.7456453943865524,14,True
HEROMOTOCO,2024-03-13,2024-04-02,4401.65,4449.15,72,rebalance,NIFTY AUTO,3420.0,1.0791407767541727,20,True
ZYDUSLIFE,2024-03-13,2024-04-03,968.65,987.7,382,rebalance,NIFTY PHARMA,7277.100000000026,1.9666546224126336,21,True
UNIONBANK,2024-03-14,2024-04-04,131.58,146.1,1968,rebalance,NIFTY PSU BANK,28575.359999999964,11.035111719106228,21,True
CGPOWER,2024-03-20,2024-04-12,502.25,492.4252582857168,493,stop,NIFTY ENERGY,-4843.5976651416,-1.956145687263944,23,True
OFSS,2024-03-13,2024-04-15,7340.5,7440.128035565674,50,stop,NIFTY MS IT TELCM,4981.401778283725,1.3572377299322147,33,True
GODREJPROP,2024-04-12,2024-04-19,2671.5,2488.1839213133826,90,stop,NIFTY REALTY,-16498.447081795566,-6.861915728490264,7,True
BAJAJ-AUTO,2024-03-13,2024-04-26,8177.5,8752.5,45,rebalance,NIFTY AUTO,25875.0,7.0314888413329335,44,True
CGPOWER,2024-04-19,2024-05-02,533.9,549.05,419,rebalance,NIFTY ENERGY,6347.84999999999,2.837610039333205,13,True
HAL,2024-04-02,2024-05-07,3543.0,3714.5047835331807,90,stop,NIFTY IND DEFENCE,15435.43051798626,4.840665637402775,35,True
MOTILALOFS,2024-04-04,2024-05-09,458.3,569.3673903639258,627,stop,NIFTY CAPITAL MKT,69639.25375818145,24.234647690143092,35,True
PHOENIXLTD,2024-03-27,2024-05-09,1364.4768156424582,1413.1,179,rebalance,NIFTY REALTY,8703.54999999997,3.563503886626873,43,False
BDL,2024-05-02,2024-05-13,982.9734177215188,908.2590406891992,237,stop,NIFTY IND DEFENCE,-17707.30735665977,-7.600854273913504,11,True
OIL,2024-03-15,2024-05-21,370.45,442.65,1005,rebalance,NIFTY OIL AND GAS,72560.99999999999,19.48980969091645,67,True
NAM-INDIA,2024-04-26,2024-05-21,580.1,599.8,679,rebalance,NIFTY CAPITAL MKT,13376.299999999954,3.3959662127219348,25,True
TRENT,2024-05-09,2024-05-28,2938.6,3077.3,116,rebalance,NIFTY NONCYC CONS,16089.200000000032,4.719934662764591,19,True
PETRONET,2024-04-15,2024-05-30,291.35,281.2946748525521,1285,stop,NIFTY OIL AND GAS,-12921.09281447061,-3.4512871623298302,45,True
CUMMINSIND,2024-03-13,2024-05-31,2675.95,3572.1719544054554,92,stop,,82452.4198053019,33.49173020443041,79,True
SUPREMEIND,2024-05-21,2024-05-31,5582.35,5277.6,72,rebalance,NIFTY MULTI MFG,-21942.0,-5.459170421059234,10,True
ABB,2024-02-28,2024-06-04,5428.6,8045.552932333119,44,stop,NIFTY ENERGY,115145.92902265723,48.20677398101019,97,True
BEL,2024-04-03,2024-06-04,221.5,284.530983215078,1705,stop,NIFTY IND DEFENCE,107467.82638170796,28.45642583073498,62,True
HAL,2024-05-07,2024-06-04,3715.0,4665.954117472403,90,stop,NIFTY IND DEFENCE,85585.87057251624,25.59768822267572,28,True
SIEMENS,2024-05-09,2024-06-04,4670.0,5197.305693169137,57,stop,NIFTY ENERGY,30056.42451064082,11.291342466148556,26,True
MOTILALOFS,2024-05-13,2024-06-04,567.114896373057,534.1065535402593,386,stop,NIFTY CAPITAL MKT,-12741.220333459944,-5.820397778986286,22,True
OBEROIRLTY,2024-05-21,2024-06-04,1724.9,1695.8263759944157,260,stop,NIFTY REALTY,-7559.142241451946,-1.6855251901898294,14,True
MAZDOCK,2024-05-28,2024-06-04,1518.4,1406.3432804007691,235,stop,NIFTY IND DEFENCE,-26333.32910581928,-7.379920943047347,7,True
CUMMINSIND,2024-05-31,2024-06-04,3551.3,3336.557645945493,114,stop,,-24480.62836221384,-6.046866050587319,4,True
SBIN,2024-05-31,2024-06-04,830.35,840.1388066688405,365,stop,NIFTY PSU BANK,3572.91443412678,1.1788771805672835,4,True
COCHINSHIP,2024-06-04,2024-06-05,1811.7,1684.55,238,rebalance,NIFTY IND DEFENCE,-30261.700000000023,-7.01827013302424,1,True
BDL,2024-06-04,2024-06-05,1436.85,1305.25,300,rebalance,NIFTY IND DEFENCE,-39479.99999999997,-9.158924035215922,1,True
HEROMOTOCO,2024-06-04,2024-06-19,5180.7,5509.45,57,rebalance,NIFTY AUTO,18738.75,6.345667573879976,15,True
BAJAJ-AUTO,2024-06-04,2024-06-25,9018.0,9421.0,31,rebalance,NIFTY AUTO,12493.0,4.468840097582616,21,True
OBEROIRLTY,2024-06-04,2024-07-08,1745.25,1765.6293250617518,247,stop,NIFTY REALTY,5033.693290252705,1.1677023384473184,34,True
M&M,2024-06-04,2024-07-10,2572.9,2744.7174645638124,112,stop,NIFTY AUTO,19243.55603114698,6.677969006327977,36,True
ABB,2024-06-04,2024-07-12,7666.75,8256.90465561309,56,stop,NIFTY ENERGY,33048.66071433308,7.697585751629976,38,True
